Header:
00000000: 6C 6F 6F 70 65 72 00 FF  02 00 56 00 88 02 01 03  looper....V.....
00000010: 60 04 61 04 62 04 63 04  64 04 65 04 66 04 67 04  `.a.b.c.d.e.f.g.
None

Base Section
Count:  427
Unique values:  427
Highest value:  0x7a7

Overdub Section
Count:  427
Unique values:  427
Highest value:  0x7a7

Total
Unique values:  427

Base               : Overdub
0.33644860 0x04F0 -> 0x000004F0
0.33878505 0x04F1 -> 0x000004F1
0.34112150 0x04F2 -> 0x000004F2
0.34345794 0x04F3 -> 0x000004F3
0.34579439 0x04F4 -> 0x000004F4
0.34813084 0x04F5 -> 0x000004F5
0.35046729 0x04F6 -> 0x000004F6
0.35280374 0x04F7 -> 0x000004F7
0.35514019 0x04F8 -> 0x000004F8
0.35747664 0x04F9 -> 0x000004F9
0.35981308 0x04FA -> 0x000004FA
0.36214953 0x04FB -> 0x000004FB
0.36448598 0x04FC -> 0x000004FC
0.36682243 0x04FD -> 0x000004FD
0.36915888 0x04FE -> 0x000004FE
0.37149533 0x04FF -> 0x000004FF
0.37383178 0x0500 -> 0x00000500
0.37616822 0x0501 -> 0x00000501
0.37850467 0x0502 -> 0x00000502
0.38084112 0x0503 -> 0x00000503
0.38317757 0x0504 -> 0x00000504
0.38551402 0x0505 -> 0x00000505
0.38785047 0x0506 -> 0x00000506
0.39018692 0x0507 -> 0x00000507
0.39252336 0x0508 -> 0x00000508
0.39485981 0x0509 -> 0x00000509
0.39719626 0x050A -> 0x0000050A
0.39953271 0x050B -> 0x0000050B
0.40186916 0x050C -> 0x0000050C
0.40420561 0x050D -> 0x0000050D
0.40654206 0x050E -> 0x0000050E
0.40887850 0x050F -> 0x0000050F
0.41121495 0x0510 -> 0x00000510
0.41355140 0x0511 -> 0x00000511
0.41588785 0x0512 -> 0x00000512
0.41822430 0x0513 -> 0x00000513
0.42056075 0x0514 -> 0x00000514
0.42289720 0x0515 -> 0x00000515
0.42523364 0x0516 -> 0x00000516
0.42757009 0x0517 -> 0x00000517
0.42990654 0x0518 -> 0x00000518
0.43224299 0x0519 -> 0x00000519
0.43457944 0x051A -> 0x0000051A
0.43691589 0x051B -> 0x0000051B
