Fractional time	Rough Address	'Time’ in memory		LTC Time
0.021702838063439	1BB06502	1611.384292	1611.423333	00:00:13:23
0.021702838063439	1BB090FF	1611.423354	1611.462396	00:00:13:24
0.023372287145242	1BB0BCFC	1611.462417	1611.501458	00:00:14:00
0.023372287145242	1BB0E8F9	1611.501479	1611.540521	00:00:14:01
0.023372287145242	1BB114F7	1611.540542	1611.579583	00:00:14:02
0.023372287145242	1BB140F4	1611.579604	1611.618646	00:00:14:03
0.023372287145242	1BB16CF1	1611.618667	1611.657708	00:00:14:04
0.023372287145242	1BB198EE	1611.657729	1611.696771	00:00:14:05
0.023372287145242	1BB1C4EC	1611.696792	1611.735833	00:00:14:06
0.023372287145242	1BB1F0E9	1611.735854	1611.774896	00:00:14:07
0.023372287145242	1BB21CE7	1611.774917	1611.813958	00:00:14:08
0.023372287145242	1BB248E4	1611.813979	1611.853	00:00:14:09
0.023372287145242	1BB274DB	1611.853021	1611.892063	00:00:14:10
0.023372287145242	1BB2A0D8	1611.892083	1611.931125	00:00:14:11
0.023372287145242	1BB2CCD6	1611.931146	1611.970188	00:00:14:12
0.023372287145242	1BB2F8D3	1611.970208	1612.00925	00:00:14:13
0.023372287145242	1BB324D0	1612.009271	1612.048313	00:00:14:14
0.023372287145242	1BB350CD	1612.048333	1612.087375	00:00:14:15
0.023372287145242	1BB37CCB	1612.087396	1612.126438	00:00:14:16
0.023372287145242	1BB3A8C8	1612.126458	1612.1655	00:00:14:17
0.023372287145242	1BB3D4C6	1612.165521	1612.204563	00:00:14:18
0.023372287145242	1BB400C3	1612.204583	1612.243625	00:00:14:19
0.023372287145242	1BB42CC0	1612.243646	1612.282688	00:00:14:20
0.023372287145242	1BB458BD	1612.282708	1612.32175	00:00:14:21
0.023372287145242	1BB484BB	1612.321771	1612.360813	00:00:14:22
0.023372287145242	1BB4B0B8	1612.360833	1612.399875	00:00:14:23
0.023372287145242	1BB4DCB5	1612.399896	1612.438938	00:00:14:24
0.025041736227045	1BB508B3	1612.438958	1612.478	00:00:15:00
0.025041736227045	1BB534B0	1612.478021	1612.517063	00:00:15:01
0.025041736227045	1BB560AD	1612.517083	1612.556125	00:00:15:02
0.025041736227045	1BB58CAB	1612.556146	1612.595229	00:00:15:03
0.025041736227045	1BB5B8B4	1612.59525	1612.634292	00:00:15:04
0.025041736227045	1BB5E4B1	1612.634313	1612.673354	00:00:15:05
0.025041736227045	1BB610AE	1612.673375	1612.712417	00:00:15:06
0.025041736227045	1BB63CAC	1612.712438	1612.751479	00:00:15:07
0.025041736227045	1BB668A9	1612.7515	1612.790542	00:00:15:08
0.025041736227045	1BB694A7	1612.790563	1612.829604	00:00:15:09
0.025041736227045	1BB6C0A4	1612.829625	1612.868667	00:00:15:10
0.025041736227045	1BB6ECA1	1612.868688	1612.907729	00:00:15:11
0.025041736227045	1BB7189E	1612.90775	1612.946792	00:00:15:12
0.025041736227045	1BB7449C	1612.946813	1612.985854	00:00:15:13
0.025041736227045	1BB77099	1612.985875	1613.024917	00:00:15:14
0.025041736227045	1BB79C96	1613.024938	1613.063979	00:00:15:15
0.025041736227045	1BB7C894	1613.064	1613.103042	00:00:15:16
0.025041736227045	1BB7F491	1613.103063	1613.142104	00:00:15:17
0.025041736227045	1BB8208E	1613.142125	1613.181167	00:00:15:18
0.025041736227045	1BB84C8C	1613.181188	1613.220229	00:00:15:19
0.025041736227045	1BB87889	1613.22025	1613.259292	00:00:15:20
0.025041736227045	1BB8A486	1613.259313	1613.298354	00:00:15:21
0.025041736227045	1BB8D083	1613.298375	1613.337417	00:00:15:22
0.025041736227045	1BB8FC81	1613.337438	1613.376479	00:00:15:23
0.025041736227045	1BB9287E	1613.3765	1613.415542	00:00:15:24
0.026711185308848	1BB9547B	1613.415563	1613.454583	00:00:16:00
0.026711185308848	1BB98073	1613.454604	1613.493646	00:00:16:01
0.026711185308848	1BB9AC70	1613.493667	1613.532708	00:00:16:02
0.026711185308848	1BB9D86D	1613.532729	1613.571771	00:00:16:03
0.026711185308848	1BBA046B	1613.571792	1613.610833	00:00:16:04
0.026711185308848	1BBA3068	1613.610854	1613.649896	00:00:16:05
0.026711185308848	1BBA5C65	1613.649917	1613.688958	00:00:16:06
0.026711185308848	1BBA8862	1613.688979	1613.728021	00:00:16:07
0.026711185308848	1BBAB460	1613.728042	1613.767083	00:00:16:08
0.026711185308848	1BBAE05D	1613.767104	1613.806146	00:00:16:09
0.026711185308848	1BBB0C5A	1613.806167	1613.845208	00:00:16:10
0.026711185308848	1BBB3858	1613.845229	1613.884271	00:00:16:11
0.026711185308848	1BBB6455	1613.884292	1613.923333	00:00:16:12
0.026711185308848	1BBB9052	1613.923354	1613.962396	00:00:16:13
0.026711185308848	1BBBBC50	1613.962417	1614.001458	00:00:16:14
0.026711185308848	1BBBE84D	1614.001479	1614.040521	00:00:16:15
0.026711185308848	1BBC144A	1614.040542	1614.079583	00:00:16:16
0.026711185308848	1BBC4047	1614.079604	1614.118646	00:00:16:17
0.026711185308848	1BBC6C45	1614.118667	1614.15775	00:00:16:18
0.026711185308848	1BBC984E	1614.157771	1614.196813	00:00:16:19
0.026711185308848	1BBCC44B	1614.196833	1614.235875	00:00:16:20
0.026711185308848	1BBCF049	1614.235896	1614.274938	00:00:16:21
0.026711185308848	1BBD1C46	1614.274958	1614.314	00:00:16:22
0.026711185308848	1BBD4843	1614.314021	1614.353063	00:00:16:23
0.026711185308848	1BBD7441	1614.353083	1614.392125	00:00:16:24
0.028380634390651	1BBDA03E	1614.392146	1614.431188	00:00:17:00
0.028380634390651	1BBDCC3B	1614.431208	1614.47025	00:00:17:01
0.028380634390651	1BBDF839	1614.470271	1614.509313	00:00:17:02
0.028380634390651	1BBE2436	1614.509333	1614.548375	00:00:17:03
0.028380634390651	1BBE5033	1614.548396	1614.587438	00:00:17:04
0.028380634390651	1BBE7C30	1614.587458	1614.6265	00:00:17:05
0.028380634390651	1BBEA82E	1614.626521	1614.665563	00:00:17:06
0.028380634390651	1BBED42B	1614.665583	1614.704625	00:00:17:07
0.028380634390651	1BBF0028	1614.704646	1614.743688	00:00:17:08
0.028380634390651	1BBF2C26	1614.743708	1614.78275	00:00:17:09
0.028380634390651	1BBF5823	1614.782771	1614.821813	00:00:17:10
0.028380634390651	1BBF8420	1614.821833	1614.860875	00:00:17:11
0.028380634390651	1BBFB01E	1614.860896	1614.899938	00:00:17:12
0.028380634390651	1BBFDC1B	1614.899958	1614.939	00:00:17:13
0.028380634390651	1BC00818	1614.939021	1614.978063	00:00:17:14
0.028380634390651	1BC03415	1614.978083	1615.017104	00:00:17:15
0.028380634390651	1BC0600D	1615.017125	1615.056167	00:00:17:16
0.028380634390651	1BC08C0A	1615.056188	1615.095229	00:00:17:17
0.028380634390651	1BC0B807	1615.09525	1615.134292	00:00:17:18
0.028380634390651	1BC0E405	1615.134313	1615.173354	00:00:17:19
0.028380634390651	1BC11002	1615.173375	1615.212417	00:00:17:20
0.028380634390651	1BC13BFF	1615.212438	1615.251479	00:00:17:21
0.028380634390651	1BC167FD	1615.2515	1615.290542	00:00:17:22
